DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2012-01-15,124.16,58.18,128.84
2012-01-16,124.16,58.18,128.84
2012-01-17,124.618,58.71,129.34
2012-01-18,125.62,59.49,130.77
2012-01-19,126.17,59.86,131.46
2012-01-20,126.96,59.77,131.54
2012-01-21,126.96,59.77,131.54
2012-01-22,126.96,59.77,131.54
2012-01-23,126.81,59.79,131.61
2012-01-24,126.43,59.68,131.46
2012-01-25,127.25,60.43,132.56
2012-01-26,127.06,60.22,131.88
2012-01-27,126.45,60.4,131.82
2012-01-28,126.45,60.4,131.82
2012-01-29,126.45,60.4,131.82
2012-01-30,126.23,60.45,131.37
2012-01-31,126.07,60.53,131.32
2012-02-01,126.91,61.02,132.47
2012-02-02,126.84,61.21,132.68
2012-02-03,128.37,62.05,134.54
2012-02-04,128.37,62.05,134.54
2012-02-05,128.37,62.05,134.54
2012-02-06,128.12,62.0,134.45
2012-02-07,128.51,62.13,134.79
2012-02-08,128.71,62.46,135.19
2012-02-09,128.76,62.91,135.36
2012-02-10,127.85,62.475,134.361
2012-02-11,127.85,62.475,134.361
2012-02-12,127.85,62.475,134.361
2012-02-13,128.59,63.05,135.36
2012-02-14,128.66,63.21,135.19
2012-02-15,127.86,62.77,134.56
2012-02-16,129.07,63.63,136.049
2012-02-17,129.23,63.43,136.41
2012-02-18,129.23,63.43,136.41
2012-02-19,129.23,63.43,136.41
2012-02-20,129.23,63.43,136.41
2012-02-21,129.35,63.61,136.47
2012-02-22,129.14,63.32,136.032
2012-02-23,129.58,63.74,136.631
2012-02-24,129.62,63.96,136.93
2012-02-25,129.62,63.96,136.93
2012-02-26,129.62,63.96,136.93
2012-02-27,129.66,64.05,137.16
2012-02-28,129.86,64.7,137.559
2012-02-29,129.29,64.41,137.02
2012-03-01,129.57,64.92,137.73
2012-03-02,129.55,64.87,137.312
2012-03-03,129.55,64.87,137.312
2012-03-04,129.55,64.87,137.312
2012-03-05,129.42,64.2,136.75
2012-03-06,127.45,63.57,134.75
2012-03-07,128.23,64.06,135.69
2012-03-08,128.92,64.75,137.04
2012-03-09,129.15,65.02,137.57
2012-03-10,129.15,65.02,137.57
2012-03-11,129.15,65.02,137.57
2012-03-12,129.46,65.05,137.58
2012-03-13,131.68,66.26,140.062
2012-03-14,131.88,66.49,139.91
2012-03-15,132.41,66.68,140.72
2012-03-16,132.05,66.52,140.3
2012-03-17,132.05,66.52,140.3
2012-03-18,132.05,66.52,140.3
2012-03-19,132.07,66.99,140.85
2012-03-20,131.38,67.11,140.44
2012-03-21,130.99,67.12,140.21
2012-03-22,130.17,66.98,139.2
2012-03-23,130.6,66.939,139.65
2012-03-24,130.6,66.939,139.65
2012-03-25,130.6,66.939,139.65
2012-03-26,132.09,68.11,141.61
2012-03-27,131.67,68.21,141.17
2012-03-28,130.98,67.938,140.47
2012-03-29,131.13,67.68,140.23
2012-03-30,131.8,67.55,140.81
2012-03-31,131.8,67.55,140.81
2012-04-01,131.8,67.55,140.81
2012-04-02,132.3,68.25,141.84
2012-04-03,131.67,68.23,141.26
2012-04-04,130.512875,67.3,139.86
2012-04-05,130.39,67.72,139.79
2012-04-06,130.39,67.72,139.79
2012-04-07,130.39,67.72,139.79
2012-04-08,130.39,67.72,139.79
2012-04-09,129.12,67.21,138.22
2012-04-10,127.013,66.13,135.9
